competition,season,matchday,home_team,away_team,home_goals,away_goals,source_url
ucl,2024-25,6,Club Brugge,Sporting CP,2,1,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,6,Red Bull Salzburg,Paris Saint-Germain,0,3,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,6,Shakhtar Donetsk,Bayern Munich,1,5,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,6,RB Leipzig,Aston Villa,2,3,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,6,Brest,PSV Eindhoven,1,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,6,Atlético Madrid,Slovan Bratislava,3,1,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,6,Lille,Sturm Graz,3,2,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,6,Milan,Red Star Belgrade,2,1,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,6,Arsenal,Monaco,3,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,6,Borussia Dortmund,Barcelona,2,3,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,6,Feyenoord,Sparta Prague,4,2,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,6,Juventus,Manchester City,2,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,6,Benfica,Bologna,0,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,6,VfB Stuttgart,Young Boys,5,1,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,7,Monaco,Aston Villa,1,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,7,Atalanta,Sturm Graz,5,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,7,Atlético Madrid,Bayer Leverkusen,2,1,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,7,Bologna,Borussia Dortmund,2,1,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,7,Club Brugge,Juventus,0,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,7,Red Star Belgrade,PSV Eindhoven,2,3,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,7,Liverpool,Lille,2,1,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,7,Slovan Bratislava,VfB Stuttgart,1,3,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,7,Benfica,Barcelona,4,5,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,7,Shakhtar Donetsk,Brest,2,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,7,RB Leipzig,Sporting CP,2,1,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,7,Milan,Girona,1,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,7,Sparta Prague,Inter Milan,0,1,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,7,Arsenal,Dinamo Zagreb,3,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,7,Celtic,Young Boys,1,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,7,Feyenoord,Bayern Munich,3,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,7,Paris Saint-Germain,Manchester City,4,2,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,7,Real Madrid,Red Bull Salzburg,5,1,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,8,Aston Villa,Celtic,4,2,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,8,Bayer Leverkusen,Sparta Prague,2,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,8,Borussia Dortmund,Shakhtar Donetsk,3,1,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,8,Young Boys,Red Star Belgrade,0,1,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,8,Barcelona,Atalanta,2,2,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,8,Bayern Munich,Slovan Bratislava,3,1,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,8,Inter Milan,Monaco,3,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,8,Red Bull Salzburg,Atlético Madrid,1,4,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,8,Girona,Arsenal,1,2,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,8,Dinamo Zagreb,Milan,2,1,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,8,Juventus,Benfica,0,2,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,8,Lille,Feyenoord,6,1,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,8,Manchester City,Club Brugge,3,1,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,8,PSV Eindhoven,Liverpool,3,2,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,8,Sturm Graz,RB Leipzig,1,0,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,8,Sporting CP,Bologna,1,1,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,8,Brest,Real Madrid,0,3,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
ucl,2024-25,8,VfB Stuttgart,Paris Saint-Germain,1,4,https://en.wikipedia.org/wiki/2024%E2%80%9325_UEFA_Champions_League_league_phase
